"","gene.symbol","cell.type","gene.weight","ensembl.id"
"286","SPIB","8T",0.066489622130657,"ENSG00000269404"
"287","SYK","8T",0.0969035820056471,"ENSG00000165025"
"288","TBC1D9","8T",0.0632395377804671,"ENSG00000109436"
"289","TENM4","8T",0.0775938889442236,"ENSG00000149256"
"290","THBD","8T",0.0564197085908658,"ENSG00000178726"
"291","TLR4","8T",0.078064129851279,"ENSG00000136869"
"292","TNRC18","8T",0.0915408254665565,"ENSG00000182095"
"293","TREM1","8T",0.0374432409332484,"ENSG00000124731"
"294","TREML4","8T",0.0919312798598871,"ENSG00000188056"
"295","VWA3B","8T",0.088216962457475,"ENSG00000168658"
"296","ZC3H12C","8T",0.0954453091074377,"ENSG00000149289"
"297","ZNF608","8T",0.0953001698054172,"ENSG00000168916"
"298","ZNF804A","8T",0.0406984641970716,"ENSG00000170396"
"299","NETO1","8T",0.095909066172371,"ENSG00000166342"
"300","SLITRK4","8T",0.0633036793647692,"ENSG00000179542"
"301","ABCB4","4T",0.062655568498012,"ENSG00000005471"
"302","ADAM28","4T",0.0585251183848746,"ENSG00000042980"
"303","ADAMDEC1","4T",0.0651522224564206,"ENSG00000134028"
"304","ALOX5AP","4T",0.0448607208912006,"ENSG00000132965"
"305","ANKRD22","4T",0.0634655418066173,"ENSG00000152766"
"306","AQP9","4T",0.0604169770903587,"ENSG00000103569"
"307","ARHGAP24","4T",0.0554471548082479,"ENSG00000138639"
"308","ARHGAP42","4T",0.0582215219784149,"ENSG00000165895"
"309","B3GNT7","4T",0.0718808605849575,"ENSG00000156966"
"310","BNC2","4T",0.0195858345162943,"ENSG00000173068"
"311","BPI","4T",0.0715796038070313,"ENSG00000101425"
"313","C5AR1","4T",0.0558382635194067,"ENSG00000197405"
"314","CCL3","4T",0.0456844904038718,"ENSG00000277632"
"315","CCL4","4T",0.0687172887313865,"ENSG00000275302"
"316","CCSER1","4T",0.0519406627324876,"ENSG00000184305"
"317","CD300C","4T",0.0589895354760209,"ENSG00000167850"
"318","CD300LB","4T",0.0540166475782493,"ENSG00000178789"
"319","CD300LF","4T",0.0534702325580153,"ENSG00000186074"
"320","CD93","4T",0.069148227518988,"ENSG00000125810"
"321","CLEC5A","4T",0.0518890503009081,"ENSG00000258227"
