"","gene.symbol","cell.type","gene.weight","ensembl.id"
"265","CX3CL1","B",8.41043477091871,"ENSG00000006210"
"266","RP11-577H5.5","B",19.6686076031283,NA
"267","STX7","B",10.3868210967074,"ENSG00000079950"
"268","THUMPD2","B",7.51414672507605,"ENSG00000138050"
"269","ART3","B",10.4612899819161,"ENSG00000156219"
"270","NEURL2","B",21.0608303427207,"ENSG00000124257"
"271","TSPAN12","B",8.08247125384416,"ENSG00000106025"
"272","EPHA10","B",8.75083111258947,"ENSG00000183317"
"273","HEY1","B",25.1162195067172,"ENSG00000164683"
"274","FICD","B",8.41461343953554,"ENSG00000198855"
"275","FCRL1","B",7.26157573330189,"ENSG00000163534"
"276","RGL2","B",7.06170726949653,"ENSG00000237441"
"277","KRTAP2-3","B",22.1225434552622,"ENSG00000212724"
"278","WDR5B","B",16.6006655123667,"ENSG00000196981"
"279","AKR1B1","B",12.139634974935,"ENSG00000085662"
"280","PTPRCAP","B",11.4902181297253,"ENSG00000213402"
"281","CORO1B","B",9.92658807728953,"ENSG00000172725"
"282","MYOCD","B",8.28894246808861,"ENSG00000141052"
"283","CXCL10","B",49.6099982415719,"ENSG00000169245"
"284","SPATA25","B",9.50378124068463,"ENSG00000149634"
"285","ZNF596","B",17.3857185230986,"ENSG00000172748"
"286","MC3R","B",9.0212815966509,"ENSG00000124089"
"287","DDIT4","B",9.54071312756144,"ENSG00000168209"
"288","ZAP70","B",10.1570439019491,"ENSG00000115085"
"289","CHCHD10","B",16.6413000856932,"ENSG00000250479"
"290","DEFA4","B",47.3418396221661,"ENSG00000164821"
"291","PEX19","B",8.79235907425969,"ENSG00000162735"
"292","STARD10","B",7.55076637307813,"ENSG00000214530"
"293","OR4D2","B",9.84011272871153,"ENSG00000255713"
"294","OLIG3","B",13.9489060326314,"ENSG00000177468"
"295","ZNF80","B",9.64569940145099,"ENSG00000174255"
"296","LCN15","B",10.2476308931781,"ENSG00000177984"
"297","UBIAD1","B",8.65557334596709,"ENSG00000120942"
"298","TRPV6","B",8.87460891051861,"ENSG00000165125"
"299","COA5","B",7.61511207653883,"ENSG00000183513"
"300","SMPD2","B",10.1148025984503,"ENSG00000135587"
"301","NELFB","Mono",21.1637184398055,"ENSG00000188986"
"302","SVEP1","Mono",35.9892606823707,"ENSG00000165124"
"303","KRT72","Mono",48.6329079051276,"ENSG00000170486"
"304","TSPAN14","Mono",25.5914408510202,"ENSG00000108219"
"305","TMEM56-RWDD3","Mono",22.5765715880389,NA
"306","SLC16A4","Mono",42.517715966334,"ENSG00000168679"
"307","CYP27A1","Mono",28.0275889559404,"ENSG00000135929"
"308","COLEC12","Mono",21.7897017804765,"ENSG00000158270"
"309","CRX","Mono",29.6238891076925,"ENSG00000105392"
"310","ZNF774","Mono",21.1645216963125,"ENSG00000196391"
"311","FAM69B","Mono",36.4116340826124,NA
"312","TMEM56","Mono",25.9383915313084,NA
"313","FAM196B","Mono",27.2978178813225,NA
"314","TIA1","Mono",21.383799590694,"ENSG00000116001"
"315","SAMHD1","Mono",28.8338500445596,"ENSG00000101347"
"316","TPRX1","Mono",21.3145216382669,"ENSG00000178928"
"317","CCDC149","Mono",21.3226024590426,"ENSG00000181982"
"318","NARS2","Mono",37.5453816235679,"ENSG00000137513"
"319","STK16","Mono",20.8068537064615,"ENSG00000115661"
"320","U2AF1","Mono",53.5304969189515,"ENSG00000160201"
"321","ZNF766","Mono",41.7826570250441,"ENSG00000196214"
"322","ZNF480","Mono",47.6023652668303,"ENSG00000198464"
"323","PGLYRP4","Mono",50.5476063914312,"ENSG00000163218"
"324","STK11IP","Mono",45.0077443012548,"ENSG00000144589"
"325","BRWD1","Mono",27.1525306186144,"ENSG00000185658"
"326","NFU1","Mono",36.1379411979178,"ENSG00000169599"
"327","ETNPPL","Mono",23.978719992391,"ENSG00000164089"
"328","PPP2R5B","Mono",25.4415776778779,"ENSG00000068971"
"329","SMIM23","Mono",60.6689166311497,"ENSG00000185662"
"330","TVP23C","Mono",25.1672332183863,"ENSG00000175106"
"331","MUSK","Mono",23.1824036847192,"ENSG00000030304"
"332","AGK","Mono",29.8619340071676,"ENSG00000006530"
"333","SEMA4D","Mono",26.1997680414525,"ENSG00000187764"
"334","SP140","Mono",22.1322250611025,"ENSG00000079263"
"335","MIXL1","Mono",43.5324350344077,"ENSG00000185155"
"336","NAALADL1","Mono",40.5609407037853,"ENSG00000168060"
"337","STARD5","Mono",28.7799367262402,"ENSG00000172345"
"338","CD55","Mono",28.5519605678261,"ENSG00000196352"
"339","CRYGN","Mono",25.9297050381532,"ENSG00000127377"
"340","TREML2","Mono",22.5153391186235,"ENSG00000112195"
"341","DHX35","Mono",44.3281950080827,"ENSG00000101452"
"342","LRG1","Mono",23.0442215775276,"ENSG00000171236"
"343","NRARP","Mono",21.4626354627306,"ENSG00000198435"
